	oid	name_org	oc_id	Business	Group	Industry	name_concept	acronym	canon_oid
1869	37342	Dairy Institute Legislative Committee		Dairy farmers & wholesale and retail milk, cheese and ice cream dealers	Agriculture	Dairy			
1870	37343	Abbott Laboratories Employee Political Action Committee		Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products			
1871	37344	Leprino Foods		Dairy farmers & wholesale and retail milk, cheese and ice cream dealers	Agriculture	Dairy			
1872	37345	Californians for Jobs and a Strong Economy	-2400	Other single-issue or ideological groups	Ideology/Single Issue	Other/Single Issue Groups	Californians for Jobs & A Strong Economy		31382.0
1873	37347	Mc Donald's California Operators PAC	-7777	Restaurants & drinking establishments	General Business	Food & Beverage	McDonald's California Operators PAC		32254.0
1874	37406	Tait & Associates, Inc		Engineering, architecture & construction management services	Construction	Construction Services			
1875	37434	Concordia University Irvine		Uncoded	Uncoded	Uncoded			
1876	37473	FairPAC	-5217	Pro-business organizations	General Business	Business Associations	Fair PAC		37142.0
1877	37477	C J Segerstrom & Sons	-3797	Real estate developers & subdividers	Finance, Insurance & Real Estate	Real Estate	CJ Segerstrom & Sons		31299.0
1878	37482	Enterprise Holdings, Inc PAC	-5067	Car & truck rental agencies	Transportation	Automotive	Enterprise Holdings		145053.0
1879	37489	California Retailers Association Good Government Council PAC	-2831	Retail trade	General Business	Retail Sales	California Retailers Association		301.0
1880	37493	CALIFORNIA TRAILBLAZERS	-15160	Republican/Conservative	Ideology/Single Issue	Conservative Policy Organization	CALIFORNIA TRAILBLAZERS		
1881	37500	CALIFORNIA DISTRIBUTORS ASSOCIATION PAC	-2330	Food & kindred products manufacturing	Agriculture	Food Processing & Sales	CA Distributors Assoc. PAC		35806.0
1882	37504	CA PHYSICAL THERAPY PAC	-2723	Other non-physician health practitioners	Health	Health Professionals	California Physical Therapy PAC		33575.0
1883	37521	SUNKIST PAC	-15111	Vegetables, fruits & tree nuts	Agriculture	Crop Production & Basic Processing	Sunkist Growers Inc.		
1884	37523	PACIFIC COAST PRODUCERS PAC		Vegetables, fruits & tree nuts	Agriculture	Crop Production & Basic Processing			
1885	37539	CALTRAVEL ASSOCIATION PAC	-3130	Lodging & tourism	General Business	Lodging & Tourism	CalTravel Assn PAC		36727.0
1886	37554	DAVITA HEALTHCARE PARTNERS INC & AFFILIATED ENTITIES	-4507	Health care institutions	Health	Hospitals & Nursing Homes	DaVita Inc.		33016.0
1887	37555	CALIFORNIA BANKERS ASSOCIATION PAC	-2046	Commercial banks & bank holding companies	Finance, Insurance & Real Estate	Commercial Banks	California Bankers Association		2473.0
1888	37558	CALIFORNIA ASPHALT PAVEMENT ASSOCIATION PAC	-1851	Stone, clay, glass & concrete products	Construction	Building Materials & Equipment	California Asphalt Pavement Association		4628.0
1889	37561	COMERICA INC PAC	-3996	Uncoded	Uncoded	Uncoded	COMERICA INC PAC		37561.0
1890	37567	VALLEY FIRST CREDIT UNION		Credit unions	Finance, Insurance & Real Estate	Credit Unions			
1891	37573	HEALTH NET, INC. & ITS AFFILIATED ENTITIES	-6194	HMOs	Health	Health Services	Health Net Inc. & affiliated entities		36481.0
1892	37574	CENTRAL VALLEY AUTOMOTIVE		Uncoded	Uncoded	Uncoded			
1893	37575	SOLECON INDUSTRIAL CONTRACTORS, INC		Construction, unclassified	Construction	General Contractors			
1894	37584	AMERICAN CHEVROLET		Auto dealers, new & used	Transportation	Automotive			
1895	37588	FRANTZ WHOLESALE NURSERY, LLC		Uncoded	Uncoded	Uncoded			
1896	37594	BOYETT PETROLEUM		Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas			
1897	37598	COVANTA ENERGY CORP	-4340	Environmental services, equipment & consulting	Energy & Natural Resources	Environmental Services & Equipment	Covanta Energy		1716.0
1898	37601	DOW INTERNATIONAL FINANCE S.A.R.L		Chemicals	General Business	Chemical & Related Manufacturing			
1899	37603	MORONGO BAND OF MISSION INDIANS NATIVE AMERICAN RIGHTS FUND	-15964	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Morongo Band Of Mission Indians		
1900	37606	ACE AMERICAN INSURANCE CO.	-157	Insurance companies, general	Finance, Insurance & Real Estate	Insurance	ACE AMERICAN INSURANCE CO.		37606.0
1901	37608	BURKETTS POOL PLASTERING INC		Uncoded	Uncoded	Uncoded			
1902	37612	CALIFORNIA STAFFING PROFESSIONALS PAC	-2920	Employment agencies	General Business	Business Services	California Staffing Professionals (Csp)		848.0
1903	37613	CA GROCERS ASSOC. PAC	-2425	Food stores	Agriculture	Food Processing & Sales	California Grocers Association		1097.0
1904	37614	GREEN DIAMOND RESOURCE CO.	-5991	Timber companies, sawmills, & others engaged in cutting down trees	Agriculture	Forestry & Forest Products	Green Diamond Resource Company / California Redwood Company		50323.0
1905	37616	MICROSOFT CORP PAC	-7961	Computer software	Communications & Electronics	Computer Equipment & Services	Microsoft Corporation		176.0
1906	37617	THE ZENITH	-12939	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Zenith Insurance Company		2782.0
1907	37620	CATERPILLAR EMPLOYEES PAC	-3288	Construction equipment	Construction	Building Materials & Equipment	CATERPILLAR EMPLOYEES PAC		37620.0
1908	37623	CALIFORNIA CATTLEMEN'S ASSOC PAC	-2103	Livestock	Agriculture	Livestock	California Cattleman's Association		29714.0
1909	37624	GENERAL MOTORS COMPANY PAC	-5772	Auto manufacturers	Transportation	Automotive	General Motors LLC		17274.0
1910	37649	California Medical Association Political Action Committee (CALPAC)	-19	Physicians	Health	Health Professionals	California Medical Association		819.0
1911	37653	California Psychiatric PAC	-2771	Psychiatrists & psychologists	Health	Health Professionals	Cal. Psychiatric PAC		34251.0
1912	37656	Californians Allied for Patient Protection (CAPP)	-1814	Health & welfare policy	Ideology/Single Issue	Health & Welfare Policy	Californians Allied For Patient Protection PAC		31295.0
1913	37657	Cannabis Action PAC	-2091	Marijuana Production, Sales & Paraphernalia	General Business	Marijuana growers & product sales	California Cannabis Industry Association		5193.0
1914	37659	Consumer Attorneys of California Consumer Protection Fund	-17	Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists	Consumer Attorneys Of California		153.0
1915	37663	DRIVE Committee / Teamsters	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
1916	37664	Engineering & Utility Contractors Association DBA United Contractors Association PAC	-12180	Builders associations	Construction	General Contractors	United Contractors		5235.0
1917	37668	Foster Interstate Media Inc		Uncoded	Uncoded	Uncoded			
1918	37670	International Brotherhood of Electrical Workers (IBEW) Local 6	-6466	Electrical workers/IBEW	Labor	General Trade Unions	International Brotherhood of Electric Workers (IBEW)		8274.0
1919	37671	International Union of Painters and Allied Trades (IUPAT) PAC	-6686	Construction unions	Labor	General Trade Unions	International Union Of Painters And Allied Trades		5243.0
1920	37673	Kazan, McClain, Satterley & Greenwood	-6912	Uncoded	Uncoded	Uncoded	Kazan, McClain, Satterley & Greenwood		37673.0
1921	37675	Laborers? International Union Of North America Local 261	-7045	Construction unions	Labor	General Trade Unions	Laborers International Union of North America (LiUNA)		35941.0
1922	37677	Law Offices of Minami Tamaki LLP	-7188	Uncoded	Uncoded	Uncoded	Law Offices of Minami Tamaki LLP		37677.0
1923	37678	Northern California Carpenters Regional Council	-12176	Construction unions	Labor	General Trade Unions	United Brotherhood Of Carpenters		4342.0
1924	37680	Operating Engineers Local No. 3	-6684	Construction unions	Labor	General Trade Unions	International Union of Operating Engineers (IUOE)		5400.0
1925	37681	Political Action for Classified Employees Committee	-2851	State & local government employee unions	Labor	Public Sector Unions	California School Employees Association		230.0
1926	37691	San Francisco Deputy Sheriffs' Association (SFDSA)		Police unions & associations	Labor	Public Sector Unions			
1927	37692	San Francisco Electrical Contractors		Electrical contractors	Construction	Special Trade Contractors			
1928	37695	Sheet Metal Workers' International Association Local 104	-10579	Construction unions	Labor	General Trade Unions	Sheet Metal, Air, Rail, Transportation Workers' International Union (SMART)		57728.0
1929	37700	Total Renal Care, Inc. (DaVita)	-4507	Health care institutions	Health	Hospitals & Nursing Homes	DaVita Inc.		33016.0
1930	37704	United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry Local 38	-15082	Construction unions	Labor	General Trade Unions	United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada (UA)		
1931	37706	UPS PAC		Express delivery services	Transportation	Air Transport			
1932	37717	North Valley Democratic Club		Democratic Party committees	Party	Party Committees			
1933	37720	Dentons		Uncoded	Uncoded	Uncoded			
1934	37727	Assoc Builders and Contractors PAC of So CA	-1040	Builders associations	Construction	General Contractors	Assoc Builders & Contractors PAC of SO CAL		31275.0
1935	37735	State Building and Construction Trades Council of CA PAC	-10989	Construction unions	Labor	General Trade Unions	State Building & Construction Trades Council Of California		214.0
1936	37738	The Doctors Company PAC (aka DOCPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
1937	37739	The Hartford Financial Services Group Inc. PAC (aka the Hartford Advocates Fund)	-6138	Uncoded	Uncoded	Uncoded	Hartford Financial Services Group		3276.0
1938	37740	The Plumbing, Piping & Mechanical Contractors PAC	-11740	Plumbing, heating & air conditioning	Construction	Special Trade Contractors	The Plumbing, Piping and Mechanical Contractors PAC		31687.0
1939	37741	The Travelers Indemnity Company		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
1940	37745	Tulare County Medical Society PAC		Physicians	Health	Health Professionals			
1941	37747	Wine Institute CA PAC	-3104	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	Wine Institute of California		100394.0
1942	37749	CA Association for Nurse Practitioners PAC	-1871	Nurses	Health	Health Professionals	California Association for Nurse Practitioners		5994.0
1943	37750	CA Association of Health Plans PAC	-1924	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	California Association of Health Plans PAC		32244.0
1944	37751	CA Life Sciences Association PAC	-2554	Biotech products & research	Health	Pharmaceuticals & Health Products	California Life Sciences Association		5912.0
1945	37760	AFSCME Local 1902 PAC - Californians for Clean & Reliable Water	-21	State & local government employee unions	Labor	Public Sector Unions	American Federation of State, County and Municipal Employees (AFSCME)		449.0
1946	37780	Bumb & Associates Inc. and Affiliated Entities	-15029	Real estate agents & managers	Finance, Insurance & Real Estate	Real Estate	Bumb & Associates		
1947	37783	CA Assisted Living Association PAC	-1857	Nursing homes	Health	Hospitals & Nursing Homes	California Assisted Living Association		1193.0
1948	37786	CA Association of Dental Plans PAC	-1912	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	CA Association of Dental Plans PAC		37786.0
1949	37787	CA Association of Nurse Anesthetist PAC	-1959	Nurses	Health	Health Professionals	California Association of Nurses Anesthetists		7713.0
1950	37788	CA Association of Professional Scientists (CAPS PAC)	-1976	Other unions	Labor	General Trade Unions	California Association Of Professional Scientists		39.0
1951	37789	CA Association of Winegrape Growers State PAC	-2016	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	California Association Of Winegrape Growers		954.0
1952	37790	CA Automatic Vendors Council PAC	-2035	Vending machine sales & services	General Business	Retail Sales	California Automatic Vendors Council		139.0
1953	37791	CA Building Industry Association PAC	-13	Residential construction	Construction	Home Builders	California Building Industry Association		905.0
1954	37797	CA Hotel & Lodging Association PAC	-2464	Uncoded	Uncoded	Uncoded	Calif. Hotel & Lodging Assoc. PAC		31215.0
1955	37798	CA Land Title Association PAC	-2523	Title insurance & title abstract offices	Finance, Insurance & Real Estate	Real Estate	Calif. Land Title Assoc. PAC		31783.0
1956	37800	CA Pharmacists PAC	-2719	Pharmacists	Health	Health Professionals	Cal. Pharmacists PAC		34247.0
1957	37801	CA Podiatric PAC	-2732	Other physician specialists	Health	Health Professionals	California Podiatric Medical Association		887.0
1958	37802	CA Radiological PAC	-2788	Other physician specialists	Health	Health Professionals	Cal. Radiological PAC		34252.0
1959	37804	CA State Pipe Trades Council	-2980	Construction unions	Labor	General Trade Unions	California State Pipe Trades Council		2581.0
1960	37805	CA Tow Truck Association PAC Fund	-3056	Auto repair	Transportation	Automotive	California Tow Truck Association		13958.0
1961	37806	CALPAC - California Medical Association PAC	-19	Physicians	Health	Health Professionals	California Medical Association		819.0
1962	37810	Central Towing & Transport LLC		Uncoded	Uncoded	Uncoded			
1963	37814	Cupertino Towing		Uncoded	Uncoded	Uncoded			
1964	37819	Easy Choice Health Plan, Inc.		HMOs	Health	Health Services			
1965	37822	Engineering & Utility Contractors Association PAC dba United Contractors PAC	-12180	Builders associations	Construction	General Contractors	United Contractors		5235.0
1966	37823	Enterprise Holdings, Inc. Political Action Committee	-5067	Car & truck rental agencies	Transportation	Automotive	Enterprise Holdings		145053.0
1967	37824	Ernst & Young LLP CA PAC	-5127	Accountants	Finance, Insurance & Real Estate	Accountants	Ernst & Young, LLP - California PAC		51877.0
1968	37826	Faculty Association of California Community Colleges-PAC	-5195	Teachers unions	Labor	Public Sector Unions	Faculty Association for California Community Colleges		9407.0
1969	37831	Hamner Towing, Inc.		Uncoded	Uncoded	Uncoded			
1970	37833	IBEW Local 18 Water & Power Defense League	-6466	Electrical workers/IBEW	Labor	General Trade Unions	International Brotherhood of Electric Workers (IBEW)		8274.0
1971	37848	Operating Engineers Local Union No. 12 Political Fund	-6684	Construction unions	Labor	General Trade Unions	International Union of Operating Engineers (IUOE)		5400.0
1972	37849	Painters & Allied Trades, District Council 36 PAC	-6686	Construction unions	Labor	General Trade Unions	International Union Of Painters And Allied Trades		5243.0
1973	37851	Peace Officers Research Association of CA PAC (PORAC PAC)	-9095	Police unions & associations	Labor	Public Sector Unions	Peace Officers Research Association Of California		420.0
1974	37855	Pharmacy Professionals of California Small Contributor Committee, Sponsored by CA Society ofHealth-System Pharmacists	-9204	Pharmacists	Health	Health Professionals	Pharmacy Professionals of CA PAC		33049.0
1975	37857	PricewaterhouseCoopers, LLP (PWC)	-9434	Accountants	Finance, Insurance & Real Estate	Accountants	Pricewaterhousecoopers LLP		14644.0
1976	37863	Securitas Security Services USA, Inc.		Security services	General Business	Business Services			
1977	37868	California Psychiatric Political Action Committee		Psychiatrists & psychologists	Health	Health Professionals			
1978	37869	FairPAC Sponsored By The Civil Justice Association of CA	-3795	Pro-business organizations	General Business	Business Associations	Civil Justice Association Of California		1693.0
1979	37874	Cal Fire Local 2881 Small Contributor PAC	-2388	Fire fighters unions and associations	Labor	Public Sector Unions	Cal Fire Local 2881		18930.0
1980	37877	Affordable Housing Political Action Committee		Building operators & managers	Finance, Insurance & Real Estate	Real Estate			
1981	37881	Up Railroad Company	-12166	Railroads	Energy & Natural Resources	Railroads	Union Pacific Corporation		1160.0
1982	37887	Build Jobs PAC, Sponsored by The Building Industry Association of the Bay Area	-13	Uncoded	Uncoded	Uncoded	California Building Industry Association		905.0
1983	37895	IBEW 302 PAC	-6466	Electrical workers/IBEW	Labor	General Trade Unions	International Brotherhood of Electric Workers (IBEW)		8274.0
1984	37900	Pleasant Paper Recycling, Inc.		Uncoded	Uncoded	Uncoded			
1985	37910	Alameda Labor Council, AFL-CIO Solidarity PAC	-380	Labor unions	Labor	General Trade Unions	Alameda Labor Council, AFL-CIO Solidarity PAC		37910.0
1986	37912	American Federation of State, County and Municipal Employees, AFL-CIO (MPO)	-21	Federal employee unions	Labor	Public Sector Unions	American Federation of State, County and Municipal Employees (AFSCME)		449.0
1987	37920	Berkeley Firefighters Association Local 1227 PAC	-1410	Fire fighters unions and associations	Labor	Public Sector Unions	Berkeley Firefighters Assn Local 1227 PAC		36868.0
1988	37930	California Association of Psychiatric Technicians PAC	-1982	Psychiatrists & psychologists	Health	Health Professionals	CA Association Of Psychiatric Technicians Inc. PAC		34838.0
1989	37935	California-Nevada Conference of Operating Engineers PAC	-6684	Construction unions	Labor	General Trade Unions	International Union of Operating Engineers (IUOE)		5400.0
1990	37937	Coliseum Lexus		Uncoded	Uncoded	Uncoded			
1991	37938	Compass Health, Inc.		Nursing homes	Health	Hospitals & Nursing Homes			
1992	37944	Edison International and Affiliated Entities	-4887	Electric power utilities	Energy & Natural Resources	Electric Utilities	Edison International And Affiliates, Including Southern California Edison		27722.0
1993	37945	EmpRes Healthcare Management		Health care services	Health	Health Services			
1994	37947	Faculty Association of California Community Colleges (FACCC) PAC	-5195	Uncoded	Uncoded	Uncoded	Faculty Association for California Community Colleges		9407.0
1995	37955	Hallisey & Johnson		Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists			
1996	37958	International Association of Fire Fighters Local 1230 Politcal Activity Committee	-6628	Fire fighters unions and associations	Labor	Public Sector Unions	International Association of Firefighters		31643.0
1997	37959	International Association of Firefighter Local 55 Political Action, Sponsored by: Int'l Assoc. of Firefighter Local 55	-6628	Fire fighters unions and associations	Labor	Public Sector Unions	International Association of Firefighters		31643.0
1998	37960	International Brotherhood of Boilermakers Local 92 PAC	-6636	Construction unions	Labor	General Trade Unions	International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers & Helpers		32133.0
1999	37962	International Union of Elevator Constructors Local #8 PAC	-6683	Construction unions	Labor	General Trade Unions	International Union Of Elevator Constructors Local 8		698.0
2000	37968	Local 1245 IBEW Executive Board	-6466	Electrical workers/IBEW	Labor	General Trade Unions	International Brotherhood of Electric Workers (IBEW)		8274.0
2001	37982	Plumbers, Steamfitters & Refrigeration Fitters Local 393 Political Action Fund	-9335	Construction unions	Labor	General Trade Unions	Plumbers, Steamfitters & Refrigeration Fitters, Local 393 PAC		41090.0
2002	37988	Richmond Police Officers Association PAC		Police unions & associations	Labor	Public Sector Unions			
2003	37989	Service Employees International Union Local 1021	-2869	State & local government employee unions	Labor	Public Sector Unions	Service Employees International Union (SEIU)		99604.0
2004	37995	U.A. Local 38 COPE Fund	-12064	Construction unions	Labor	General Trade Unions	UA Local 38 COPE Fund		32687.0
2005	37997	Walgreens Company	-12546	Drug stores	General Business	Retail Sales	Walgreen Co.		2459.0
2006	38003	CIPAC State PAC - CA Independent Petroleum Assoc.	-2479	Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas	California Independent Petroleum Association		29581.0
2007	38004	E&B Natural Resources MGMT., Corp.	-4809	Oil & gas	Energy & Natural Resources	Oil & Gas	E & B Natural Resources		38566.0
2008	38006	California Correctional Police Officers Association (CCPOA) Political Action Committee	-2237	Corrections officers unions and associations	Labor	Public Sector Unions	California Correctional Peace Officers Association		1066.0
2009	38007	California Association of Marriage & Family Therapist PAC	-1948	Welfare & social work	Government Agencies/Education/Other	Welfare/Social Work	California Association Of Marriage And Family Therapists		1137.0
2010	38010	CALPAC California Medical Association Political Action Committee	-19	Physicians	Health	Health Professionals	California Medical Association		819.0
2011	38011	Faculty Association ofCalifornia - California Community Colleges	-5195	Teachers unions	Labor	Public Sector Unions	Faculty Association for California Community Colleges		9407.0
2012	38012	LACPPOA Los Angeles County Professional Peace Officers Assoc.	-7429	Police unions & associations	Labor	Public Sector Unions	Los Angeles County Professional Peace Officers Association		1983.0
2013	38013	California Clinical Laboratory Association PAC	-2164	Medical laboratories	Health	Health Services	California Clinical Laboratory Association		478.0
2014	38014	BNSF Railway Comapny	-1541	Railroads	Energy & Natural Resources	Railroads	BNSF Railway Company		9613.0
2015	38019	Southern California Contractors Association PAC (SCCA)		Builders associations	Construction	General Contractors			
2016	38021	Ernst & Young LLP CAL PAC	-5127	Accountants	Finance, Insurance & Real Estate	Accountants	Ernst & Young, LLP - California PAC		51877.0
2017	38023	California Professional Firefighters Political Action Committee	-2760	Fire fighters unions and associations	Labor	Public Sector Unions	California Professional Firefighters		319.0
2018	38029	Southwest Regional Council of Carpenters Political Action Committee	-12176	Construction unions	Labor	General Trade Unions	United Brotherhood Of Carpenters		4342.0
2019	38033	International Brotherhood of Electrical Wokers Local 11 Political Action Committee	-6466	Electrical workers/IBEW	Labor	General Trade Unions	International Brotherhood of Electric Workers (IBEW)		8274.0
2020	38042	IUPAT Political Action Together - Political Committee	-6686	Construction unions	Labor	General Trade Unions	International Union Of Painters And Allied Trades		5243.0
2021	38046	SEIU-Service Employees Int'l Union Local 721, CTW, CLC State & Local All Purpose	-2869	State & local government employee unions	Labor	Public Sector Unions	Service Employees International Union (SEIU)		99604.0
2022	38093	American Sikh PAC		Uncoded	Uncoded	Uncoded			
2023	38134	MTI College		Uncoded	Uncoded	Uncoded			
2024	38137	Liberty Mutual PAC	-7312	Insurance companies, general	Finance, Insurance & Real Estate	Insurance	Liberty Mutual Group		57.0
2025	38140	Golden Bear Insurance Company		Property & casualty insurance	Finance, Insurance & Real Estate	Insurance			
2026	38142	Disability PAC		Accident & health insurance	Finance, Insurance & Real Estate	Insurance			
2027	38161	Thompson Von Tungeln, A Professional Corporation, Attorneys At Law		Uncoded	Uncoded	Uncoded			
2028	38165	Visco Financial Inc dba Visco Financial Insurance Services	-12500	Insurance companies, general	Finance, Insurance & Real Estate	Insurance	Visco Financial Inc. DBA Visco Financial Insurance Services		31203.0
2029	38170	Antelope Ambulance Service		Health care services	Health	Health Services			
2030	38175	Peace Officers Research Association of California PAC - PORAC PAC	-9095	Police unions & associations	Labor	Public Sector Unions	Peace Officers Research Association Of California		420.0
2031	38179	Camacho Auto Sales, Inc.		Auto dealers, new & used	Transportation	Automotive			
2032	38180	Antelope Valley Harley-Davidson		Uncoded	Uncoded	Uncoded			
2033	38182	Pavement Recycling Systems Inc		Stone, clay, glass & concrete products	Construction	Building Materials & Equipment			
2034	38184	Western Manufactured Housing Communities Association PAC	-12708	Mobile home dealers & parks	Finance, Insurance & Real Estate	Real Estate	Western Manufactured Housing Communities Association		161.0
2035	38185	Tenet Health Corporation	-11350	Hospitals	Health	Hospitals & Nursing Homes	Tenet Healthcare Corporation		1863.0
2036	38186	Chad Mayes for Assembly 2016		Candidate committees	Candidate Contributions	Candidate Committees			
2037	38189	Weststar		Uncoded	Uncoded	Uncoded			
2038	38191	AWP Energy, Inc		Uncoded	Uncoded	Uncoded			
2039	38192	Melissa Melendez for Assembly 2016		Candidate committees	Candidate Contributions	Candidate Committees			
2040	38194	CIPAC State PAC - CA Independent Petroleum Association	-2479	Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas	California Independent Petroleum Association		29581.0
2041	38198	Trinity River Lumber Company		Lumber and wood products & lumber yards	Construction	Building Materials & Equipment			
2042	38203	Pacific Farms & Orchards, Inc	-8935	Uncoded	Uncoded	Uncoded	Pacific Farms & Orchards, Inc		38203.0
2043	38204	Independent Insurance Poltical Action Committee (IIPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
2044	38207	California New Car Dealers PAC		Auto dealers, new & used	Transportation	Automotive			
2045	38211	California Almond Industry PAC, Sponsored by the Almond Hullers Assn		Uncoded	Uncoded	Uncoded			
2046	38216	Walgamuth Painting, Inc.		Uncoded	Uncoded	Uncoded			
2047	38217	Soper-Wheeler Company LLC		Uncoded	Uncoded	Uncoded			
2048	38218	Mendo-Boldt Industries, Inc.		Uncoded	Uncoded	Uncoded			
2049	38219	CLT Logging, Inc.		Uncoded	Uncoded	Uncoded			
2050	38221	Red River Forests LLC		Uncoded	Uncoded	Uncoded			
2051	38224	W. M .Beaty & Associates, Inc.	-12823	Uncoded	Uncoded	Uncoded	W. M .Beaty & Associates, Inc.		38224.0
2052	38225	RTA Construction, Inc.		Uncoded	Uncoded	Uncoded			
2053	38230	California Assocation of Winegrape Growers State PAC	-2016	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	California Association Of Winegrape Growers		954.0
2054	38233	K.G. Carpenter & Sons, Inc. dba Carpenter's Trucking		Uncoded	Uncoded	Uncoded			
2055	38237	Farmers Employees & Agent PAC	-5266	Uncoded	Uncoded	Uncoded	Farmers Employees & Agent PAC		38237.0
2056	38239	Chevron Policy and Government & Public Affairs	-2	Major (multinational) oil & gas producers	Energy & Natural Resources	Oil & Gas	Chevron Corporation		9955.0
2057	38240	California Water Political Action Committee		Water utilities	Energy & Natural Resources	Water Utilities			
2058	38242	Tullis, Inc.		Uncoded	Uncoded	Uncoded			
2059	38247	Crain Orchards		Uncoded	Uncoded	Uncoded			
2060	38253	Michigan-California Timber Co.	-7960	Uncoded	Uncoded	Uncoded	Michigan-California Timber Co.		38253.0
2061	38260	Del Logging, Inc.		Uncoded	Uncoded	Uncoded			
2062	38261	Kings River Water Political Action		Water utilities	Energy & Natural Resources	Water Utilities			
2063	38265	California Independent Petroleum Association PAC	-2479	Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas	California Independent Petroleum Association		29581.0
2064	38266	International Paper PAC - Federal		Paper & pulp mills and paper manufacturing	Agriculture	Forestry & Forest Products			
2065	38269	GreenbergTrauig	-5984	Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists	Greenberg Traurig PA		120564.0
2066	38271	JPMorgan Chase & Co PAC	-6864	Finance, insurance & real estate	Finance, Insurance & Real Estate	Miscellaneous Finance, Insurance & Real Estate	JPMorgan Chase		57707.0
2067	38272	Chevron Policy Govt & Publ Affairs	-2	Major (multinational) oil & gas producers	Energy & Natural Resources	Oil & Gas	Chevron Corporation		9955.0
2068	38284	PacificLife	-8947	Life insurance	Finance, Insurance & Real Estate	Insurance	Pacific Life		31331.0
2069	38290	Flexfit LLC		Uncoded	Uncoded	Uncoded			
2070	38292	Personal Insurance Federation of CA Agents & Employee PAC	-9169	Uncoded	Uncoded	Uncoded	Personal Insurance Federation		5653.0
2071	38293	E-W Services, Inc.		Commercial banks & bank holding companies	Finance, Insurance & Real Estate	Commercial Banks			
2072	38343	CA Medical Therapeutic Center		Other non-physician health practitioners	Health	Health Professionals			
2073	38344	Trevethan Farms		Uncoded	Uncoded	Uncoded			
2074	38348	JPMorgan Chase & Co. Federal PAC	-6864	Finance, insurance & real estate	Finance, Insurance & Real Estate	Miscellaneous Finance, Insurance & Real Estate	JPMorgan Chase		57707.0
2075	38349	Ling's Acupuncture & Herbal		Uncoded	Uncoded	Uncoded			
2076	38350	California Grocers Association PAC	-2425	Food stores	Agriculture	Food Processing & Sales	California Grocers Association		1097.0
2077	38353	Farmers Employees & Agents PAC	-5266	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Farmers Employees & Agent PAC		38237.0
2078	38363	UPSPAC - California	-12214	Express delivery services	Transportation	Air Transport	United Parcel Service (UPS)		188.0
2079	38391	IW Group, Inc.	-6742	Uncoded	Uncoded	Uncoded	IW Group, Inc.		38391.0
2080	38411	AT&T Inc & Its Affliates	-1154	Telecommunications	Communications & Electronics	Telecom Services & Equipment	At&T Inc. And Its Affiliates		13561.0
2081	38412	Hispanic 100	-16889	Minority & ethnic groups	Ideology/Single Issue	Minority & Disability Groups	Hispanic 100		
2082	38414	CARGO PAC - California Trucking Association		Trucking	Transportation	Trucking			
2083	38415	California State Outdoor Advertising Association PAC	-2972	Outdoor advertising services	General Business	Business Services	California State Outdoor Advertising Association		1226.0
2084	38428	Rincon Band of Luiseno Mission Indians of the Rincon Reservation	-9914	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Rincon Band of Luiseno Indians		32530.0
2085	38456	American Council of Engineering Companies PAC		Engineering, architecture & construction management services	Construction	Construction Services			
2086	38473	ChamberPAC Small Contributor Committee	-4	Chambers of commerce	General Business	Business Associations	California Chamber of Commerce		89.0
2087	38487	Associated Builders and Contractors PAC of So California	-1004	Builders associations	Construction	General Contractors	Associated Builders and Contractors, Inc.		42386.0
2088	38501	Mercury Air Group, Inc.		Uncoded	Uncoded	Uncoded			
2089	38504	TMSI		Uncoded	Uncoded	Uncoded			
2090	38519	California Republican Party	-2820	Republican Party committees	Party	Party Committees	California Republican Party		38519.0
2091	38522	New Majority California PAC	-8457	Republican/Conservative	Ideology/Single Issue	Conservative Policy Organization	New Majority California PAC		38522.0
